AuthorCourse,AuthorID,Cluster,PercMGS,Subject,SubjectNew,ClassSize,CourseLevel,TrtType,TrtIntensity,Treatment,MGSgroup,MGS,Pass,DFW,TotStuTypePerSection,PercPass
15,15,120,0.151785714,Biology,Biology,Large,Intro,Flipped,High,Active,LowSES,1,44,7,51,0.862745098
15,15,120,0.151785714,Biology,Biology,Large,Intro,Flipped,High,Active,NonLowSES,0,267,18,285,0.936842105
15,15,121,0.15797546,Biology,Biology,Large,Intro,Flipped,High,Active,LowSES,1,88,15,103,0.854368932
15,15,121,0.15797546,Biology,Biology,Large,Intro,Flipped,High,Active,NonLowSES,0,524,25,549,0.954462659
15,15,122,0.226708075,Biology,Biology,Large,Intro,Passive,Passive,Passive,LowSES,1,50,23,73,0.684931507
15,15,122,0.226708075,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonLowSES,0,213,36,249,0.855421687
15,15,123,0.239520958,Biology,Biology,Large,Intro,Passive,Passive,Passive,LowSES,1,56,24,80,0.7
15,15,123,0.239520958,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonLowSES,0,226,28,254,0.88976378
16,16,130,0.635658915,Mathematics,Mathematics,Small,Intro,Flipped,High,Active,NonURM,0,33,14,47,0.70212766
16,16,130,0.635658915,Mathematics,Mathematics,Small,Intro,Flipped,High,Active,URM,1,53,29,82,0.646341463
16,16,131,0.650306748,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,NonURM,0,101,70,171,0.590643275
16,16,131,0.650306748,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,URM,1,179,139,318,0.562893082
17a,17,3000,0.08333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,10,1,11,0.909090909
17a,17,3000,0.08333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,1,0,1,1
17a,17,3001,0.12,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,14,8,22,0.636363636
17a,17,3001,0.12,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,1,2,3,0.333333333
17a,17,3002,0.17647059,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,48,22,70,0.685714286
17a,17,3002,0.17647059,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,5,15,0.666666667
17a,17,3003,0.26666667,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,14,8,22,0.636363636
17a,17,3003,0.26666667,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,2,8,0.75
17a,17,3004,0.21212121,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,20,6,26,0.769230769
17a,17,3004,0.21212121,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,6,1,7,0.857142857
17a,17,3005,0.22413793,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,29,16,45,0.644444444
17a,17,3005,0.22413793,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,6,7,13,0.461538462
17a,17,3006,0.39285714,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,NonURM,0,24,10,34,0.705882353
17a,17,3006,0.39285714,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,URM,1,18,4,22,0.818181818
17a,17,3007,0.28205128,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,NonURM,0,69,15,84,0.821428571
17a,17,3007,0.28205128,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,URM,1,28,5,33,0.848484848
17a,17,3008,0.1559633,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,70,22,92,0.760869565
17a,17,3008,0.1559633,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,13,4,17,0.764705882
17a,17,3009,0.12727273,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,64,32,96,0.666666667
17a,17,3009,0.12727273,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,4,14,0.714285714
17a,17,3010,0.13333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,8,5,13,0.615384615
17a,17,3010,0.13333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,1,1,2,0.5
17a,17,3011,0.24137931,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,25,19,44,0.568181818
17a,17,3011,0.24137931,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,9,5,14,0.642857143
17a,17,3012,0.26785714,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,26,15,41,0.634146341
17a,17,3012,0.26785714,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,5,15,0.666666667
17a,17,3013,0.17741935,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,32,19,51,0.62745098
17a,17,3013,0.17741935,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,5,11,0.545454545
17a,17,3014,0.20833333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,25,13,38,0.657894737
17a,17,3014,0.20833333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,5,5,10,0.5
17a,17,3015,0.2,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,30,14,44,0.681818182
17a,17,3015,0.2,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,5,11,0.545454545
17a,17,3016,0.27777778,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,23,16,39,0.58974359
17a,17,3016,0.27777778,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,7,8,15,0.466666667
17a,17,3017,0.25714286,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,23,3,26,0.884615385
17a,17,3017,0.25714286,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,4,5,9,0.444444444
17a,17,3018,0.24324324,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,21,7,28,0.75
17a,17,3018,0.24324324,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,4,5,9,0.444444444
17a,17,3019,0.22641509,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,37,4,41,0.902439024
17a,17,3019,0.22641509,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,7,5,12,0.583333333
17a,17,3020,0.08695652,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,34,8,42,0.80952381
17a,17,3020,0.08695652,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,4,0,4,1
17a,17,3021,0.25,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,11,1,12,0.916666667
17a,17,3021,0.25,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,3,1,4,0.75
17a,17,3022,0.23529412,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,22,17,39,0.564102564
17a,17,3022,0.23529412,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,7,5,12,0.583333333
17a,17,3023,0.18,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,31,10,41,0.756097561
17a,17,3023,0.18,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,3,6,9,0.333333333
17a,17,3024,0.21666667,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,28,19,47,0.595744681
17a,17,3024,0.21666667,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,3,13,0.769230769
17b,17,3100,0.18181818,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,30,15,45,0.666666667
17b,17,3100,0.18181818,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,5,5,10,0.5
17b,17,3101,0.2,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,27,9,36,0.75
17b,17,3101,0.2,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,7,2,9,0.777777778
17b,17,3102,0.09677419,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,25,3,28,0.892857143
17b,17,3102,0.09677419,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,1,2,3,0.333333333
17b,17,3103,0.2,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,26,18,44,0.590909091
17b,17,3103,0.2,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,5,11,0.545454545
17b,17,3104,0.08333333,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,25,8,33,0.757575758
17b,17,3104,0.08333333,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,2,1,3,0.666666667
17b,17,3105,0.25641026,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,13,16,29,0.448275862
17b,17,3105,0.25641026,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,4,10,0.6
17b,17,3106,0.06451613,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,23,6,29,0.793103448
17b,17,3106,0.06451613,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,2,0,2,1
17b,17,3107,0.31343284,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,43,3,46,0.934782609
17b,17,3107,0.31343284,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,14,7,21,0.666666667
17b,17,3108,0.14814815,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,17,6,23,0.739130435
17b,17,3108,0.14814815,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,4,0,4,1
17b,17,3109,0.2,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,20,4,24,0.833333333
17b,17,3109,0.2,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,5,1,6,0.833333333
17b,17,3110,0.17391304,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,27,11,38,0.710526316
17b,17,3110,0.17391304,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,5,3,8,0.625
17b,17,3111,0.14285714,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,38,4,42,0.904761905
17b,17,3111,0.14285714,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,6,1,7,0.857142857
17b,17,3112,0.26,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,31,6,37,0.837837838
17b,17,3112,0.26,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,9,4,13,0.692307692
18,18,140,0.434065934,Chemistry,Chemistry,Large,Upper,Flipped,High,Active,NonURM,0,88,15,103,0.854368932
18,18,140,0.434065934,Chemistry,Chemistry,Large,Upper,Flipped,High,Active,URM,1,65,14,79,0.82278481
18,18,141,0.524324324,Chemistry,Chemistry,Large,Upper,Passive,Passive,Passive,NonURM,0,76,12,88,0.863636364
18,18,141,0.524324324,Chemistry,Chemistry,Large,Upper,Passive,Passive,Passive,URM,1,71,26,97,0.731958763
19,19,142,0.171382377,Geology,Geology,Large,Intro,Flipped,High,Active,NonURM,0,752,273,1025,0.733658537
19,19,142,0.171382377,Geology,Geology,Large,Intro,Flipped,High,Active,URM,1,138,74,212,0.650943396
19,19,143,0.10758427,Geology,Geology,Large,Intro,Passive,Passive,Passive,NonURM,0,2311,866,3177,0.727415801
19,19,143,0.10758427,Geology,Geology,Large,Intro,Passive,Passive,Passive,URM,1,228,155,383,0.595300261
20,20,4000,0.173652695,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,133,5,138,0.963768116
20,20,4000,0.173652695,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,28,1,29,0.965517241
20,20,4001,0.208588957,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,125,4,129,0.968992248
20,20,4001,0.208588957,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,32,2,34,0.941176471
20,20,4002,0.329192547,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,104,4,108,0.962962963
20,20,4002,0.329192547,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,51,2,53,0.962264151
20,20,4003,0.282608696,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,97,2,99,0.97979798
20,20,4003,0.282608696,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,37,2,39,0.948717949
20,20,4004,0.253333333,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,99,13,112,0.883928571
20,20,4004,0.253333333,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,30,8,38,0.789473684
20,20,4005,0.213793103,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,110,4,114,0.964912281
20,20,4005,0.213793103,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,27,4,31,0.870967742
20,20,4006,0.226950355,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,101,8,109,0.926605505
20,20,4006,0.226950355,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,27,5,32,0.84375
20,20,4007,0.147651007,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,122,5,127,0.960629921
20,20,4007,0.147651007,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,18,4,22,0.818181818
20,20,4008,0.214953271,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,72,12,84,0.857142857
20,20,4008,0.214953271,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,16,7,23,0.695652174
20,20,4009,0.2,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,73,7,80,0.9125
20,20,4009,0.2,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,18,2,20,0.9
20,20,4010,0.192307692,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,40,2,42,0.952380952
20,20,4010,0.192307692,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,9,1,10,0.9
20,20,4011,0.21969697,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,98,5,103,0.951456311
20,20,4011,0.21969697,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,24,5,29,0.827586207
20,20,4012,0.181208054,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,119,3,122,0.975409836
20,20,4012,0.181208054,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,27,0,27,1
20,20,4013,0.208,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,89,10,99,0.898989899
20,20,4013,0.208,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,21,5,26,0.807692308
20,20,4014,0.23255814,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,92,7,99,0.929292929
20,20,4014,0.23255814,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,28,2,30,0.933333333
20,20,4015,0.2125,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,55,8,63,0.873015873
20,20,4015,0.2125,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,15,2,17,0.882352941
20,20,4016,0.111111111,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,98,6,104,0.942307692
20,20,4016,0.111111111,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,12,1,13,0.923076923
20,20,4017,0.242857143,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,49,4,53,0.924528302
20,20,4017,0.242857143,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,13,4,17,0.764705882
20,20,4018,0.233898305,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,NonURM,0,212,14,226,0.938053097
20,20,4018,0.233898305,Chemistry,Chemistry,Large,Intro,Combination,Unknown,Active,URM,1,61,8,69,0.884057971
20,20,4019,0.158940397,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,121,6,127,0.952755906
20,20,4019,0.158940397,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,21,3,24,0.875
20,20,4020,0.173611111,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,109,10,119,0.915966387
20,20,4020,0.173611111,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,20,5,25,0.8
20,20,4021,0.2,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,58,10,68,0.852941176
20,20,4021,0.2,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,16,1,17,0.941176471
20,20,4022,0.230769231,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,103,7,110,0.936363636
20,20,4022,0.230769231,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,30,3,33,0.909090909
20,20,4023,0.223076923,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,98,3,101,0.97029703
20,20,4023,0.223076923,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,25,4,29,0.862068966
20,20,4024,0.171052632,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,126,0,126,1
20,20,4024,0.171052632,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,24,2,26,0.923076923
20,20,4025,0.15862069,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,115,7,122,0.942622951
20,20,4026,0.15862069,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,22,1,23,0.956521739
20,20,4027,0.228346457,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,94,4,98,0.959183673
20,20,4027,0.228346457,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,28,1,29,0.965517241
20,20,4028,0.178947368,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,72,6,78,0.923076923
20,20,4028,0.178947368,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,15,2,17,0.882352941
20,20,4029,0.24742268,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,69,4,73,0.945205479
20,20,4029,0.24742268,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,18,6,24,0.75
20,20,4030,0.146788991,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,87,6,93,0.935483871
20,20,4030,0.146788991,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,15,1,16,0.9375
20,20,4031,0.314049587,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,79,4,83,0.951807229
20,20,4031,0.314049587,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,31,7,38,0.815789474
20,20,4032,0.27,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,69,4,73,0.945205479
20,20,4032,0.27,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,27,0,27,1
20,20,4033,0.244897959,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,99,12,111,0.891891892
20,20,4033,0.244897959,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,31,5,36,0.861111111
20,20,4034,0.168831169,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,125,3,128,0.9765625
20,20,4034,0.168831169,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,24,2,26,0.923076923
20,20,4035,0.246268657,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,94,7,101,0.930693069
20,20,4035,0.246268657,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,29,4,33,0.878787879
20,20,4036,0.204545455,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,99,6,105,0.942857143
20,20,4036,0.204545455,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,26,1,27,0.962962963
21,21,150,0.296296296,Chemistry,Chemistry,Small,Upper,Flipped,Low,Active,NonURM,0,29,9,38,0.763157895
21,21,150,0.296296296,Chemistry,Chemistry,Small,Upper,Flipped,Low,Active,URM,1,7,9,16,0.4375
21,21,151,0.307692308,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,NonURM,0,36,27,63,0.571428571
21,21,151,0.307692308,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,URM,1,16,12,28,0.571428571
21,21,152,0.35483871,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,NonURM,0,26,14,40,0.65
21,21,152,0.35483871,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,URM,1,11,11,22,0.5
21,21,153,0.259259259,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,NonURM,0,13,7,20,0.65
21,21,153,0.259259259,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,URM,1,4,3,7,0.571428571
21,21,154,0.272727273,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,NonURM,0,31,9,40,0.775
21,21,154,0.272727273,Chemistry,Chemistry,Small,Upper,Passive,Passive,Passive,URM,1,9,6,15,0.6
